allele_id,allele_name,allele_type,allele_description,dna_changes,aa_changes
S000004642-KanMX,sub1,Disruption marked with KanMX,NA,NA,NA
S000004643-KanMX,yet2,Disruption marked with KanMX,NA,NA,NA
S000004644-KanMX,ara2,Disruption marked with KanMX,NA,NA,NA
S000004645-KanMX,arg80,Disruption marked with KanMX,NA,NA,NA
S000004647-KanMX,ioc4,Disruption marked with KanMX,NA,NA,NA
S000004748-KanMX,sip5,Disruption marked with KanMX,NA,NA,NA
S000004749-KanMX,ymr141c,Disruption marked with KanMX,NA,NA,NA
S000004751-KanMX,rps16a,Disruption marked with KanMX,NA,NA,NA
S000004752-KanMX,ymr144w,Disruption marked with KanMX,NA,NA,NA
S000004753-KanMX,nde1,Disruption marked with KanMX,NA,NA,NA
S000004755-KanMX,ymr147w,Disruption marked with KanMX,NA,NA,NA
S000004756-KanMX,osw5,Disruption marked with KanMX,NA,NA,NA
S000004759-KanMX,yim2,Disruption marked with KanMX,NA,NA,NA
S000004758-KanMX,imp1,Disruption marked with KanMX,NA,NA,NA
S000004760-KanMX,yim1,Disruption marked with KanMX,NA,NA,NA
S000004762-KanMX,nup53,Disruption marked with KanMX,NA,NA,NA
S000004761-KanMX,ymr153c-a,Disruption marked with KanMX,NA,NA,NA
S000004764-KanMX,ymr155w,Disruption marked with KanMX,NA,NA,NA
S000004765-KanMX,tpp1,Disruption marked with KanMX,NA,NA,NA
S000004766-KanMX,aim36,Disruption marked with KanMX,NA,NA,NA
S000004768-KanMX,ymr158w-b,Disruption marked with KanMX,NA,NA,NA
S000004769-KanMX,atg16,Disruption marked with KanMX,NA,NA,NA
S000004771-KanMX,hlj1,Disruption marked with KanMX,NA,NA,NA
S000004772-KanMX,dnf3,Disruption marked with KanMX,NA,NA,NA
S000004773-KanMX,inp2,Disruption marked with KanMX,NA,NA,NA
S000004774-KanMX,mss11,Disruption marked with KanMX,NA,NA,NA
S000004775-KanMX,pah1,Disruption marked with KanMX,NA,NA,NA
S000004776-KanMX,ymr166c,Disruption marked with KanMX,NA,NA,NA
S000004777-KanMX,mlh1,Disruption marked with KanMX,NA,NA,NA
S000004779-KanMX,ald3,Disruption marked with KanMX,NA,NA,NA
S000004780-KanMX,ald2,Disruption marked with KanMX,NA,NA,NA
S000004782-KanMX,ymr172c-a,Disruption marked with KanMX,NA,NA,NA
S000004785-KanMX,ymr173w-a,Disruption marked with KanMX,NA,NA,NA
S000004786-KanMX,pai3,Disruption marked with KanMX,NA,NA,NA
S000004787-KanMX,sip18,Disruption marked with KanMX,NA,NA,NA
S000004788-KanMX,ecm5,Disruption marked with KanMX,NA,NA,NA
S000004789-KanMX,mmt1,Disruption marked with KanMX,NA,NA,NA
S000004790-KanMX,ymr178w,Disruption marked with KanMX,NA,NA,NA
S000004791-KanMX,spt21,Disruption marked with KanMX,NA,NA,NA
S000004792-KanMX,ctl1,Disruption marked with KanMX,NA,NA,NA
S000004794-KanMX,rgm1,Disruption marked with KanMX,NA,NA,NA
S000004795-KanMX,sso2,Disruption marked with KanMX,NA,NA,NA
S000004796-KanMX,add37,Disruption marked with KanMX,NA,NA,NA
S000004798-KanMX,hsc82,Disruption marked with KanMX,NA,NA,NA
S000004799-KanMX,ymr187c,Disruption marked with KanMX,NA,NA,NA
S000004800-KanMX,mrps17,Disruption marked with KanMX,NA,NA,NA
S000004801-KanMX,gcv2,Disruption marked with KanMX,NA,NA,NA
S000004802-KanMX,sgs1,Disruption marked with KanMX,NA,NA,NA
S000004803-KanMX,spg5,Disruption marked with KanMX,NA,NA,NA
